CAN_ID,p_des
4,0.328113
4,0.329624
4,0.331138
4,0.332654
4,0.334174
4,0.335697
4,0.337223
4,0.338752
4,0.340285
4,0.34182
4,0.343358
4,0.344899
4,0.346443
4,0.347991
4,0.349541
4,0.351094
4,0.352651
4,0.35421
4,0.355772
4,0.357337
4,0.358906
4,0.360477
4,0.362051
4,0.363629
4,0.365209
4,0.366792
4,0.368378
4,0.369967
4,0.371559
4,0.373154
4,0.374753
4,0.376353
4,0.377957
4,0.379564
4,0.381174
4,0.382787
4,0.384402
4,0.386021
4,0.387643
4,0.389267
4,0.390894
4,0.392525
4,0.394158
4,0.395794
4,0.397433
4,0.399075
4,0.40072
4,0.402367
4,0.404018
4,0.405671
4,0.407327
4,0.408987
4,0.410649
4,0.412314
4,0.413981
4,0.415652
4,0.417325
4,0.419002
4,0.420681
4,0.422363
4,0.424047
4,0.425735
4,0.427426
4,0.429119
4,0.430815
4,0.432514
4,0.434216
4,0.43592
4,0.437627
4,0.439338
4,0.441051
4,0.442766
4,0.444485
4,0.446206
4,0.44793
4,0.449657
4,0.451386
4,0.453119
4,0.454854
4,0.456592
4,0.458332
4,0.460076
4,0.461822
4,0.463571
4,0.465322
4,0.467076
4,0.468833
4,0.470593
4,0.472356
4,0.474121
4,0.475889
4,0.477659
4,0.479432
4,0.481208
4,0.482987
4,0.484768
4,0.486552
4,0.488339
4,0.490128
4,0.49192
4,0.493715
4,0.495512
4,0.497312
4,0.499115
4,0.50092
4,0.502728
4,0.504539
4,0.506352
4,0.508168
4,0.509986
4,0.511807
4,0.513631
4,0.515457
4,0.517286
4,0.519117
4,0.520952
4,0.522788
4,0.524627
4,0.526469
4,0.528314
4,0.530161
4,0.53201
4,0.533862
4,0.535717
4,0.537574
4,0.539434
4,0.541296
4,0.543161
4,0.545029
4,0.546898
4,0.548771
4,0.550646
4,0.552523
4,0.554403
4,0.556286
4,0.558171
4,0.560058
4,0.561948
4,0.563841
4,0.565736
4,0.567633
4,0.569533
4,0.571436
4,0.57334
4,0.575248
4,0.577157
4,0.57907
4,0.580984
4,0.582902
4,0.584821
4,0.586743
4,0.588668
4,0.590594
4,0.592524
4,0.594455
4,0.596389
4,0.598326
4,0.600265
4,0.602206
4,0.60415
4,0.606096
4,0.608044
4,0.609995
4,0.611948
4,0.613904
4,0.615862
4,0.617822
4,0.619785
4,0.62175
4,0.623717
4,0.625687
