0x007,0x001,0x002,0x003,0x004,0x005,0x006,0x007,0x008
-0.91823,2.48033,0.91273,0.64527,1.40283,0.26285,-1.81855,0.06558,0.06558,
-0.92019,2.47858,0.91827,0.65234,1.40411,0.29885,-1.83348,0.07628,0.07628,
-0.92197,2.47673,0.92409,0.65977,1.40541,0.33551,-1.84868,0.08716,0.08716,
-0.92359,2.47482,0.93011,0.66746,1.40666,0.37216,-1.86389,0.09805,0.09805,
-0.92512,2.47287,0.93627,0.67532,1.40778,0.40817,-1.87883,0.10874,0.10874,
-0.92659,2.47089,0.94250,0.68327,1.40872,0.44289,-1.89323,0.11906,0.11906,
-0.92805,2.46891,0.94873,0.69122,1.40940,0.47574,-1.90686,0.12881,0.12881,
-0.92954,2.46695,0.95490,0.69909,1.40977,0.50617,-1.91949,0.13785,0.13785,
-0.93111,2.46504,0.96094,0.70681,1.40979,0.53370,-1.93091,0.14603,0.14603,
-0.93278,2.46318,0.96681,0.71430,1.40941,0.55795,-1.94097,0.15323,0.15323,
-0.93459,2.46138,0.97247,0.72152,1.40860,0.57862,-1.94955,0.15937,0.15937,
-0.93656,2.45967,0.97787,0.72843,1.40736,0.59557,-1.95658,0.16441,0.16441,
-0.93870,2.45804,0.98302,0.73500,1.40568,0.60876,-1.96205,0.16833,0.16833,
-0.94100,2.45650,0.98790,0.74123,1.40359,0.61834,-1.96603,0.17117,0.17117,
-0.94348,2.45504,0.99252,0.74714,1.40111,0.62461,-1.96863,0.17304,0.17304,
-0.94609,2.45365,0.99692,0.75276,1.39832,0.62807,-1.97006,0.17407,0.17407,
-0.94882,2.45232,1.00115,0.75817,1.39529,0.62944,-1.97063,0.17447,0.17447,
-0.95161,2.45101,1.00529,0.76346,1.39213,0.62965,-1.97072,0.17453,0.17453,
-0.95439,2.44969,1.00947,0.76881,1.38897,0.63007,-1.97091,0.17465,0.17465,
-0.95722,2.44834,1.01375,0.77428,1.38559,0.62947,-1.97074,0.17442,0.17442,
-0.96017,2.44694,1.01820,0.77997,1.38178,0.62701,-1.96994,0.17355,0.17355,
-0.96325,2.44547,1.02286,0.78593,1.37742,0.62206,-1.96829,0.17184,0.17184,
-0.96650,2.44393,1.02777,0.79220,1.37242,0.61417,-1.96562,0.16913,0.16913,
-0.96991,2.44230,1.03294,0.79881,1.36671,0.60306,-1.96185,0.16532,0.16532,
-0.97348,2.44059,1.03836,0.80574,1.36029,0.58862,-1.95694,0.16037,0.16037,
-0.97721,2.43880,1.04402,0.81298,1.35317,0.57086,-1.95089,0.15429,0.15429,
-0.98107,2.43695,1.04989,0.82048,1.34540,0.54992,-1.94374,0.14713,0.14713,
-0.98503,2.43505,1.05592,0.82820,1.33704,0.52605,-1.93559,0.13898,0.13898,
-0.98907,2.43311,1.06207,0.83606,1.32819,0.49959,-1.92655,0.12994,0.12994,
-0.99314,2.43116,1.06828,0.84400,1.31896,0.47096,-1.91676,0.12016,0.12016,
-0.99721,2.42920,1.07448,0.85193,1.30947,0.44064,-1.90639,0.10981,0.10981,
-1.00123,2.42727,1.08061,0.85976,1.29986,0.40916,-1.89562,0.09907,0.09907,
-1.00515,2.42538,1.08660,0.86742,1.29026,0.37708,-1.88464,0.08812,0.08812,
-1.00893,2.42356,1.09238,0.87482,1.28082,0.34496,-1.87365,0.07716,0.07716,
-1.01254,2.42183,1.09789,0.88186,1.27167,0.31339,-1.86284,0.06638,0.06638,
-1.01592,2.42020,1.10306,0.88847,1.26295,0.28292,-1.85240,0.05599,0.05599,
-1.01904,2.41869,1.10784,0.89457,1.25479,0.25408,-1.84253,0.04615,0.04615,
-1.02187,2.41733,1.11217,0.90011,1.24731,0.22736,-1.83338,0.03703,0.03703,
-1.02438,2.41611,1.11601,0.90503,1.24059,0.20317,-1.82509,0.02878,0.02878,
-1.02655,2.41507,1.11934,0.90928,1.23471,0.18186,-1.81779,0.02151,0.02151,
-1.02838,2.41418,1.12214,0.91286,1.22973,0.16367,-1.81156,0.01531,0.01531,
-1.02986,2.41347,1.12440,0.91575,1.22567,0.14877,-1.80646,0.01023,0.01023,
-1.03099,2.41292,1.12614,0.91797,1.22253,0.13716,-1.80248,0.00627,0.00627,
-1.03180,2.41253,1.12738,0.91956,1.22026,0.12873,-1.79959,0.00339,0.00339,
-1.03233,2.41228,1.12819,0.92060,1.21878,0.12322,-1.79770,0.00151,0.00151,
-1.03262,2.41214,1.12863,0.92116,1.21797,0.12017,-1.79666,0.00047,0.00047,
-1.03273,2.41208,1.12881,0.92138,1.21765,0.11896,-1.79625,0.00006,0.00006,
-1.03273,2.41208,1.12881,0.92138,1.21765,0.11896,-1.79625,0.00006,0.00006,
-1.03276,2.41207,1.12886,0.92145,1.21763,0.11866,-1.79607,-0.00006,-0.00010,
-1.03270,2.41210,1.12876,0.92132,1.21834,0.11964,-1.79593,0.00017,-0.00011,
-1.03245,2.41222,1.12838,0.92084,1.22035,0.12294,-1.79587,0.00103,0.00014,
-1.03196,2.41245,1.12763,0.91988,1.22411,0.12937,-1.79592,0.00275,0.00075,
-1.03117,2.41283,1.12642,0.91834,1.22993,0.13948,-1.79608,0.00546,0.00177,
-1.03005,2.41337,1.12472,0.91616,1.23799,0.15360,-1.79638,0.00927,0.00326,
-1.02857,2.41408,1.12248,0.91329,1.24840,0.17190,-1.79681,0.01421,0.00524,
-1.02674,2.41496,1.11969,0.90972,1.26113,0.19436,-1.79738,0.02028,0.00771,
-1.02455,2.41601,1.11635,0.90546,1.27608,0.22078,-1.79808,0.02744,0.01065,
-1.02201,2.41723,1.11249,0.90052,1.29308,0.25087,-1.79891,0.03559,0.01405,
-1.01915,2.41860,1.10813,0.89495,1.31188,0.28420,-1.79984,0.04463,0.01785,
-1.01599,2.42012,1.10332,0.88879,1.33220,0.32023,-1.80087,0.05440,0.02201,
-1.01256,2.42176,1.09810,0.88213,1.35369,0.35837,-1.80198,0.06475,0.02647,
-1.00891,2.42351,1.09254,0.87502,1.37599,0.39796,-1.80314,0.07549,0.03115,
-1.00508,2.42535,1.08671,0.86756,1.39869,0.43829,-1.80433,0.08644,0.03599,
-1.00111,2.42726,1.08066,0.85983,1.42141,0.47865,-1.80553,0.09739,0.04091,
-0.99705,2.42921,1.07448,0.85192,1.44372,0.51832,-1.80671,0.10816,0.04584,
-0.99294,2.43118,1.06823,0.84393,1.46525,0.55659,-1.80786,0.11856,0.05070,
-0.98884,2.43315,1.06197,0.83593,1.48562,0.59281,-1.80895,0.12839,0.05543,
-0.98477,2.43510,1.05578,0.82802,1.50448,0.62637,-1.80997,0.13751,0.05994,
-0.98079,2.43701,1.04972,0.82027,1.52156,0.65674,-1.81089,0.14576,0.06420,
-0.97692,2.43887,1.04383,0.81273,1.53660,0.68350,-1.81171,0.15303,0.06814,
-0.97319,2.44065,1.03816,0.80548,1.54942,0.70632,-1.81240,0.15923,0.07173,
-0.96963,2.44236,1.03273,0.79855,1.55993,0.72503,-1.81298,0.16431,0.07495,
-0.96624,2.44399,1.02758,0.79196,1.56812,0.73960,-1.81342,0.16827,0.07779,
-0.96304,2.44553,1.02269,0.78571,1.57406,0.75017,-1.81375,0.17114,0.08025,
-0.96000,2.44699,1.01806,0.77979,1.57795,0.75710,-1.81396,0.17302,0.08237,
-0.95710,2.44838,1.01366,0.77416,1.58010,0.76092,-1.81408,0.17406,0.08419,
-0.95432,2.44971,1.00942,0.76875,1.58095,0.76243,-1.81413,0.17447,0.08579,
-0.95161,2.45101,1.00529,0.76346,1.58108,0.76266,-1.81413,0.17453,0.08727,
-0.94887,2.45233,1.00110,0.75811,1.58139,0.76308,-1.81415,0.17465,0.08878,
-0.94610,2.45365,0.99682,0.75264,1.58135,0.76205,-1.81417,0.17442,0.09023,
-0.94331,2.45500,0.99238,0.74695,1.58066,0.75841,-1.81419,0.17356,0.09158,
-0.94047,2.45636,0.98772,0.74099,1.57911,0.75127,-1.81421,0.17185,0.09280,
-0.93757,2.45775,0.98281,0.73472,1.57653,0.74000,-1.81422,0.16913,0.09386,
-0.93462,2.45916,0.97764,0.72811,1.57283,0.72422,-1.81424,0.16533,0.09473,
-0.93162,2.46060,0.97222,0.72118,1.56797,0.70376,-1.81425,0.16038,0.09541,
-0.92857,2.46207,0.96655,0.71394,1.56196,0.67863,-1.81425,0.15430,0.09589,
-0.92548,2.46355,0.96069,0.70643,1.55484,0.64905,-1.81426,0.14715,0.09617,
-0.92236,2.46505,0.95465,0.69872,1.54669,0.61535,-1.81426,0.13899,0.09627,
-0.91921,2.46656,0.94850,0.69086,1.53764,0.57802,-1.81426,0.12995,0.09618,
-0.91605,2.46808,0.94229,0.68292,1.52784,0.53765,-1.81425,0.12018,0.09593,
-0.91290,2.46959,0.93609,0.67499,1.51743,0.49491,-1.81425,0.10982,0.09553,
-0.90976,2.47110,0.92996,0.66715,1.50662,0.45055,-1.81424,0.09908,0.09501,
-0.90665,2.47259,0.92397,0.65949,1.49559,0.40534,-1.81423,0.08813,0.09439,
-0.90359,2.47405,0.91819,0.65210,1.48454,0.36011,-1.81422,0.07717,0.09369,
-0.90060,2.47549,0.91268,0.64506,1.47367,0.31564,-1.81421,0.06639,0.09294,
-0.89767,2.47689,0.90751,0.63845,1.46317,0.27274,-1.81420,0.05600,0.09217,
-0.89483,2.47826,0.90274,0.63234,1.45323,0.23213,-1.81419,0.04616,0.09139,
-0.89209,2.47957,0.89841,0.62681,1.44402,0.19451,-1.81418,0.03704,0.09064,
-0.88946,2.48084,0.89456,0.62189,1.43567,0.16046,-1.81417,0.02879,0.08994,
-0.88694,2.48205,0.89123,0.61764,1.42832,0.13046,-1.81416,0.02151,0.08929,
-0.88453,2.48320,0.88844,0.61406,1.42205,0.10487,-1.81415,0.01531,0.08873,
-0.88224,2.48430,0.88618,0.61117,1.41690,0.08390,-1.81415,0.01023,0.08826,
-0.88006,2.48535,0.88444,0.60895,1.41289,0.06756,-1.81414,0.00627,0.08788,
-0.87799,2.48634,0.88319,0.60736,1.40998,0.05570,-1.81414,0.00339,0.08760,
-0.87601,2.48729,0.88238,0.60632,1.40808,0.04794,-1.81414,0.00151,0.08742,
-0.87411,2.48820,0.88194,0.60576,1.40702,0.04365,-1.81413,0.00047,0.08731,
-0.87227,2.48908,0.88177,0.60554,1.40661,0.04195,-1.81413,0.00006,0.08727,
-0.87227,2.48908,0.88177,0.60554,1.40661,0.04195,-1.81413,0.00006,0.08727,
-0.87049,2.48994,0.88169,0.60544,1.40661,0.04316,-1.81437,0.00007,0.08749,
-0.86893,2.49069,0.88163,0.60536,1.40762,0.05452,-1.81581,0.00108,0.08892,
-0.86772,2.49127,0.88158,0.60529,1.41025,0.08213,-1.81919,0.00371,0.09228,
-0.86693,2.49165,0.88155,0.60525,1.41477,0.12826,-1.82477,0.00823,0.09785,
-0.86657,2.49182,0.88154,0.60524,1.42113,0.19204,-1.83245,0.01459,0.10553,
-0.86661,2.49180,0.88154,0.60524,1.42907,0.27019,-1.84183,0.02253,0.11492,
-0.86697,2.49163,0.88156,0.60527,1.43816,0.35770,-1.85233,0.03162,0.12542,
-0.86756,2.49134,0.88159,0.60531,1.44784,0.44848,-1.86320,0.04130,0.13630,
-0.86828,2.49100,0.88163,0.60535,1.45754,0.53613,-1.87370,0.05100,0.14680,
-0.86900,2.49065,0.88166,0.60540,1.46669,0.61458,-1.88308,0.06015,0.15620,
-0.86964,2.49035,0.88170,0.60544,1.47481,0.67880,-1.89076,0.06826,0.16389,
-0.87012,2.49011,0.88172,0.60547,1.48156,0.72547,-1.89635,0.07501,0.16947,
-0.87041,2.48998,0.88174,0.60549,1.48682,0.75372,-1.89972,0.08027,0.17285,
-0.87050,2.48993,0.88174,0.60550,1.49074,0.76580,-1.90117,0.08419,0.17430,
-0.87046,2.48995,0.88174,0.60550,1.49381,0.76775,-1.90140,0.08727,0.17453,
-0.87048,2.48994,0.88175,0.60551,1.49711,0.77133,-1.90159,0.09057,0.17473,
-0.87049,2.48994,0.88175,0.60551,1.49998,0.76411,-1.89928,0.09344,0.17241,
-0.87050,2.48994,0.88175,0.60551,1.50213,0.73960,-1.89295,0.09558,0.16609,
-0.87050,2.48993,0.88175,0.60551,1.50342,0.69533,-1.88205,0.09688,0.15518,
-0.87050,2.48993,0.88175,0.60551,1.50384,0.63212,-1.86677,0.09729,0.13991,
-0.87050,2.48993,0.88175,0.60551,1.50346,0.55340,-1.84792,0.09692,0.12106,
-0.87050,2.48994,0.88175,0.60551,1.50244,0.46438,-1.82673,0.09589,0.09987,
-0.87049,2.48994,0.88175,0.60551,1.50097,0.37143,-1.80469,0.09442,0.07782,
-0.87048,2.48994,0.88175,0.60551,1.49927,0.28130,-1.78336,0.09273,0.05649,
-0.87048,2.48994,0.88175,0.60551,1.49757,0.20036,-1.76425,0.09103,0.03738,
-0.87047,2.48995,0.88175,0.60551,1.49607,0.13395,-1.74859,0.08953,0.02172,
-0.87047,2.48995,0.88175,0.60550,1.49492,0.08560,-1.73720,0.08837,0.01033,
-0.87047,2.48995,0.88174,0.60550,1.49419,0.05628,-1.73030,0.08764,0.00343,
-0.87046,2.48995,0.88174,0.60550,1.49386,0.04373,-1.72734,0.08732,0.00048,
-0.87046,2.48995,0.88174,0.60550,1.49386,0.04373,-1.72734,0.08732,0.00048,
-0.87046,2.48995,0.88174,0.60550,1.49395,0.03981,-1.72623,0.08740,-0.00068,
-0.87046,2.48995,0.88174,0.60550,1.49526,0.04609,-1.72649,0.08872,-0.00069,
-0.87046,2.48995,0.88174,0.60550,1.49854,0.06869,-1.72897,0.09199,0.00116,
-0.87046,2.48995,0.88174,0.60550,1.50406,0.10995,-1.73400,0.09751,0.00520,
-0.87046,2.48995,0.88174,0.60550,1.51171,0.16911,-1.74146,0.10517,0.01138,
-0.87046,2.48995,0.88174,0.60550,1.52111,0.24295,-1.75095,0.11457,0.01942,
-0.87046,2.48995,0.88174,0.60550,1.53165,0.32654,-1.76181,0.12510,0.02883,
-0.87046,2.48995,0.88174,0.60550,1.54258,0.41390,-1.77323,0.13604,0.03899,
-0.87046,2.48995,0.88174,0.60550,1.55315,0.49866,-1.78435,0.14660,0.04924,
